,NDCG@5,NDCG@10,MRR,Precision@5,Precision@10,Recall@5,Recall@10
TF-IDF,0.293485903532283,0.3549275012685345,0.29168650793650797,0.08199999999999999,0.061,0.3496666666666667,0.49916666666666665
Entity,0.23184731499112668,0.2930156971012401,0.2105674603174603,0.078,0.057999999999999996,0.32400000000000007,0.4743333333333334
Knowledge-Aware,0.22815661252684127,0.2891806458257372,0.20542857142857143,0.078,0.057999999999999996,0.32400000000000007,0.4743333333333334
Hybrid,0.2932349194328323,0.3523805117082704,0.28807539682539685,0.08199999999999999,0.061,0.3373333333333333,0.48516666666666663
